Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Shop location
ace-of-hearts-backless-maxi-dress-black,Ace Of Hearts Backless Maxi Dress Black,Size,US 12,Color,Black,,,141252-1288437,,,900
ace-of-hearts-backless-maxi-dress-black-petite,Ace Of Hearts Backless Maxi Dress Black Petite,Size,US 0,Color,Black,,,145763-1315551,,,900
ace-of-hearts-backless-maxi-dress-black-petite,Ace Of Hearts Backless Maxi Dress Black Petite,Size,US 2,Color,Black,,,145763-1315552,,,900
ace-of-hearts-backless-maxi-dress-black-petite,Ace Of Hearts Backless Maxi Dress Black Petite,Size,US 4,Color,Black,,,145763-1315553,,,900
ace-of-hearts-backless-maxi-dress-black-petite,Ace Of Hearts Backless Maxi Dress Black Petite,Size,US 6,Color,Black,,,145763-1315554,,,900
ace-of-hearts-backless-maxi-dress-black-petite,Ace Of Hearts Backless Maxi Dress Black Petite,Size,US 8,Color,Black,,,145763-1315555,,,900
ace-of-hearts-backless-maxi-dress-black-petite,Ace Of Hearts Backless Maxi Dress Black Petite,Size,US 10,Color,Black,,,145763-1315556,,,900
ace-of-hearts-backless-maxi-dress-black-petite,Ace Of Hearts Backless Maxi Dress Black Petite,Size,US 12,Color,Black,,,145763-1315557,,,900
acer-mini-dress-yellow-multi,Acer Mini Dress Yellow Multi,Size,US 0,Color,Yellow,,,122852-1177996,,,900
acer-mini-dress-yellow-multi,Acer Mini Dress Yellow Multi,Size,US 2,Color,Yellow,,,122852-1177997,,,900
acer-mini-dress-yellow-multi,Acer Mini Dress Yellow Multi,Size,US 4,Color,Yellow,,,122852-1177998,,,900
acer-mini-dress-yellow-multi,Acer Mini Dress Yellow Multi,Size,US 6,Color,Yellow,,,122852-1177999,,,900
acer-mini-dress-yellow-multi,Acer Mini Dress Yellow Multi,Size,US 8,Color,Yellow,,,122852-1178000,,,900
acer-mini-dress-yellow-multi,Acer Mini Dress Yellow Multi,Size,US 10,Color,Yellow,,,122852-1178001,,,900
acer-mini-dress-yellow-multi,Acer Mini Dress Yellow Multi,Size,US 12,Color,Yellow,,,122852-1178002,,,900
ackerley-mini-dress-black,Ackerley Mini Dress Black,Size,US 0,Color,Black,,,134262-1245022,,,900
ackerley-mini-dress-black,Ackerley Mini Dress Black,Size,US 2,Color,Black,,,134262-1245023,,,900
ackerley-mini-dress-black,Ackerley Mini Dress Black,Size,US 4,Color,Black,,,134262-1245024,,,900
ackerley-mini-dress-black,Ackerley Mini Dress Black,Size,US 6,Color,Black,,,134262-1245025,,,900
ackerley-mini-dress-black,Ackerley Mini Dress Black,Size,US 8,Color,Black,,,134262-1245026,,,900
ackerley-mini-dress-black,Ackerley Mini Dress Black,Size,US 10,Color,Black,,,134262-1245027,,,900
ackerley-mini-dress-black,Ackerley Mini Dress Black,Size,US 12,Color,Black,,,134262-1245028,,,900
ackerley-mini-dress-red,Ackerley Mini Dress Red,Size,US 0,Color,Red,,,138169-1268499,,,900
ackerley-mini-dress-red,Ackerley Mini Dress Red,Size,US 2,Color,Red,,,138169-1268500,,,900
ackerley-mini-dress-red,Ackerley Mini Dress Red,Size,US 4,Color,Red,,,138169-1268501,,,900
ackerley-mini-dress-red,Ackerley Mini Dress Red,Size,US 6,Color,Red,,,138169-1268502,,,900
ackerley-mini-dress-red,Ackerley Mini Dress Red,Size,US 8,Color,Red,,,138169-1268503,,,900
ackerley-mini-dress-red,Ackerley Mini Dress Red,Size,US 10,Color,Red,,,138169-1268504,,,900
ackerley-mini-dress-red,Ackerley Mini Dress Red,Size,US 12,Color,Red,,,138169-1268505,,,900
acosta-off-the-shoulder-mini-dress-black,Acosta Long Sleeve Off Shoulder Mini Dress Black,Size,US 0,Color,Black,,,132672-1235563,,,900
acosta-off-the-shoulder-mini-dress-black,Acosta Long Sleeve Off Shoulder Mini Dress Black,Size,US 2,Color,Black,,,132672-1235564,,,900
acosta-off-the-shoulder-mini-dress-black,Acosta Long Sleeve Off Shoulder Mini Dress Black,Size,US 4,Color,Black,,,132672-1235565,,,900
acosta-off-the-shoulder-mini-dress-black,Acosta Long Sleeve Off Shoulder Mini Dress Black,Size,US 6,Color,Black,,,132672-1235566,,,900
acosta-off-the-shoulder-mini-dress-black,Acosta Long Sleeve Off Shoulder Mini Dress Black,Size,US 8,Color,Black,,,132672-1235567,,,900
acosta-off-the-shoulder-mini-dress-black,Acosta Long Sleeve Off Shoulder Mini Dress Black,Size,US 10,Color,Black,,,132672-1235568,,,900
acosta-off-the-shoulder-mini-dress-black,Acosta Long Sleeve Off Shoulder Mini Dress Black,Size,US 12,Color,Black,,,132672-1235569,,,900
adalie-hardware-plunge-maxi-dress-black,Adalie Hardware Plunge Maxi Dress Black,Size,US 0,Color,Black,,,148668-1333704,,,900
adalie-hardware-plunge-maxi-dress-black,Adalie Hardware Plunge Maxi Dress Black,Size,US 2,Color,Black,,,148668-1333705,,,900
adalie-hardware-plunge-maxi-dress-black,Adalie Hardware Plunge Maxi Dress Black,Size,US 4,Color,Black,,,148668-1333706,,,900
adalie-hardware-plunge-maxi-dress-black,Adalie Hardware Plunge Maxi Dress Black,Size,US 6,Color,Black,,,148668-1333707,,,900
adalie-hardware-plunge-maxi-dress-black,Adalie Hardware Plunge Maxi Dress Black,Size,US 8,Color,Black,,,148668-1333708,,,900
adalie-hardware-plunge-maxi-dress-black,Adalie Hardware Plunge Maxi Dress Black,Size,US 10,Color,Black,,,148668-1333709,,,900
adalie-hardware-plunge-maxi-dress-black,Adalie Hardware Plunge Maxi Dress Black,Size,US 12,Color,Black,,,148668-1333710,,,900
adalinda-keyhole-cap-sleeve-mini-dress-black,Adalinda Keyhole Cap Sleeve Mini Dress Black,Size,US 0,Color,Black,,,154972-1373269,,,900
adalinda-keyhole-cap-sleeve-mini-dress-black,Adalinda Keyhole Cap Sleeve Mini Dress Black,Size,US 2,Color,Black,,,154972-1373270,,,900
adalinda-keyhole-cap-sleeve-mini-dress-black,Adalinda Keyhole Cap Sleeve Mini Dress Black,Size,US 4,Color,Black,,,154972-1373271,,,900
adalinda-keyhole-cap-sleeve-mini-dress-black,Adalinda Keyhole Cap Sleeve Mini Dress Black,Size,US 6,Color,Black,,,154972-1373273,,,900
adalinda-keyhole-cap-sleeve-mini-dress-black,Adalinda Keyhole Cap Sleeve Mini Dress Black,Size,US 8,Color,Black,,,154972-1373275,,,900
adalinda-keyhole-cap-sleeve-mini-dress-black,Adalinda Keyhole Cap Sleeve Mini Dress Black,Size,US 10,Color,Black,,,154972-1373277,,,900
adalinda-keyhole-cap-sleeve-mini-dress-black,Adalinda Keyhole Cap Sleeve Mini Dress Black,Size,US 12,Color,Black,,,154972-1373279,,,900
adalisa-strapless-ruched-maxi-dress-black,Adalisa Strapless Ruched Maxi Dress Black,Size,US 0,Color,Black,,,154827-1371849,,,900
adalisa-strapless-ruched-maxi-dress-black,Adalisa Strapless Ruched Maxi Dress Black,Size,US 2,Color,Black,,,154827-1371850,,,900
adalisa-strapless-ruched-maxi-dress-black,Adalisa Strapless Ruched Maxi Dress Black,Size,US 4,Color,Black,,,154827-1371851,,,900
adalisa-strapless-ruched-maxi-dress-black,Adalisa Strapless Ruched Maxi Dress Black,Size,US 6,Color,Black,,,154827-1371853,,,900
adalisa-strapless-ruched-maxi-dress-black,Adalisa Strapless Ruched Maxi Dress Black,Size,US 8,Color,Black,,,154827-1371855,,,900
adalisa-strapless-ruched-maxi-dress-black,Adalisa Strapless Ruched Maxi Dress Black,Size,US 10,Color,Black,,,154827-1371857,,,900
adalisa-strapless-ruched-maxi-dress-black,Adalisa Strapless Ruched Maxi Dress Black,Size,US 12,Color,Black,,,154827-1371859,,,900
adalyne-lace-halter-maxi-dress-black,Adalyne Lace Halter Maxi Dress Black,Size,US 0,Color,Black,,,147635-1327359,,,900
